iter	Logloss
0	0.6065998663
1	0.5340039576
2	0.4733136747
3	0.422542837
4	0.3802173634
5	0.3449529421
6	0.3155533406
7	0.2909405787
8	0.270413497
9	0.2531314417
10	0.2385841701
11	0.2263359075
12	0.2158769946
13	0.207031671
14	0.1995087881
15	0.1930839875
16	0.1875667506
17	0.1828270104
18	0.1787560221
19	0.175252281
20	0.1722241873
21	0.169604659
22	0.1673148127
23	0.165337901
24	0.1636291584
25	0.1621222057
26	0.1608223997
27	0.1596687847
28	0.1586644765
29	0.157784918
30	0.1570055383
31	0.1563178113
32	0.1557149215
33	0.1551762363
34	0.1547064896
35	0.1542830333
36	0.1539183583
37	0.1535903471
38	0.1533018638
39	0.1530450054
40	0.1528128503
41	0.1526158871
42	0.1524336557
43	0.1522750535
44	0.1521327478
45	0.1520033971
46	0.1518912047
47	0.1517906148
48	0.1517006991
49	0.1516158487
50	0.1515390737
51	0.1514744049
52	0.1514144832
53	0.1513642413
54	0.1513179508
55	0.1512748825
56	0.1512357922
57	0.1511993141
58	0.1511671985
59	0.1511387162
60	0.1511119841
61	0.151089734
62	0.1510661313
63	0.1510470369
64	0.151026736
65	0.1510113147
66	0.1509951375
67	0.1509818776
68	0.1509681403
69	0.1509562063
70	0.150942721
71	0.1509306014
72	0.1509220487
73	0.1509120375
74	0.1509019864
75	0.150893752
76	0.1508874668
77	0.1508783837
78	0.1508696985
79	0.1508616762
80	0.1508554971
81	0.1508495699
82	0.1508430062
83	0.1508382061
84	0.1508302767
85	0.1508249064
86	0.1508183162
87	0.1508133172
88	0.1508077347
89	0.1508035313
90	0.1508002296
91	0.1507933344
92	0.1507859221
93	0.1507783375
94	0.150773365
95	0.1507681671
96	0.1507609802
97	0.150758779
98	0.1507549337
99	0.1507513667
100	0.1507476672
101	0.1507439146
102	0.1507381996
103	0.1507327232
104	0.1507283342
105	0.1507253242
106	0.1507194368
107	0.1507155516
108	0.15071103
109	0.1507076089
110	0.1507032729
111	0.150699759
112	0.1506944153
113	0.1506888063
114	0.1506847753
115	0.1506791133
116	0.1506732922
117	0.1506699772
118	0.1506658534
119	0.1506632809
120	0.1506571018
121	0.1506541316
122	0.1506497956
123	0.1506467193
124	0.1506429137
125	0.15063936
126	0.1506337113
127	0.1506301178
128	0.1506284868
129	0.1506239917
130	0.1506186082
131	0.1506145374
132	0.1506118456
133	0.1506062764
134	0.1506024841
135	0.150598347
136	0.1505948464
137	0.1505918761
138	0.150588402
139	0.1505868904
140	0.1505810693
141	0.1505769587
142	0.1505727288
143	0.1505693607
144	0.1505634203
145	0.1505612722
146	0.1505584478
147	0.1505529582
148	0.1505498554
149	0.1505461161
150	0.1505424033
151	0.1505377358
152	0.1505346993
153	0.150532034
154	0.1505284936
155	0.1505244891
156	0.1505215189
157	0.1505179387
158	0.1505136027
159	0.1505088689
160	0.150503671
161	0.1504992289
162	0.150495662
163	0.1504916044
164	0.1504876662
165	0.150483065
166	0.1504779997
167	0.1504744726
168	0.1504719532
169	0.1504675376
170	0.1504646602
171	0.1504591176
172	0.1504546092
173	0.1504511351
174	0.1504458842
175	0.1504421846
176	0.1504401559
177	0.1504362972
178	0.15043399
179	0.1504312982
180	0.1504273468
181	0.1504241644
182	0.1504218041
183	0.1504162217
184	0.1504132647
185	0.1504107851
186	0.1504076425
187	0.1504016888
188	0.1503977903
189	0.1503929505
190	0.1503908156
191	0.1503861481
192	0.1503830718
193	0.1503791734
194	0.1503733523
195	0.1503685522
196	0.1503655687
197	0.1503605166
198	0.150355027
199	0.1503524281
200	0.150349617
201	0.1503458909
202	0.1503435572
203	0.1503399902
204	0.1503368079
205	0.1503318354
206	0.1503285071
207	0.1503231103
208	0.1503180981
209	0.1503154726
210	0.1503138682
211	0.1503110438
212	0.1503074238
213	0.1503010988
214	0.1502972004
215	0.1502956225
216	0.1502925329
217	0.15028764
218	0.1502840996
219	0.1502799757
220	0.1502768066
221	0.1502737834
222	0.1502697125
223	0.1502663976
224	0.1502633478
225	0.1502599002
226	0.1502559355
227	0.1502504459
228	0.1502472104
229	0.1502439352
230	0.150239334
231	0.1502357538
232	0.1502317096
233	0.1502282222
234	0.1502234884
235	0.1502189535
236	0.1502181977
237	0.1502134108
238	0.1502089025
239	0.1502054549
240	0.1502024183
241	0.1501978304
242	0.150195258
243	0.1501912667
244	0.1501890258
245	0.1501862677
246	0.1501817726
247	0.1501760311
248	0.1501708729
249	0.1501639115
250	0.1501607291
251	0.1501560616
252	0.1501508372
253	0.1501465144
254	0.1501421917
255	0.1501387308
256	0.150133228
257	0.1501264786
